project_name,project_details,project_status,publish_date,budget,duration,skills,link
رفع تطبيق فلاتر على app store / testflight,عندي مشروع flutter ومحتاج ينزل على اجهزة ios ، عندما اقوم برفع المشروع على app store testflight وتحديد جروب External Testing يتم مراجعه التطبيق ورفضه ويوصلني ايميل بالمحتوى المرفق بالصوره. المطلوب : - العمل على جهازي ورفع التطبيق بشكل صحيح . - توضيح الخطوات اللازمة لحل المشكلة.,مفتوح,2025-10-30 10:48:37,$25.00 - $50.00,"3
    أيام","برمجة iOS, flutter, برمجة, تطوير التطبيقات, برمجة التطبيقات, استكشاف الأخطاء وإصلاحها",https://mostaql.com/project/1171635-%D8%B1%D9%81%D8%B9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%81%D9%84%D8%A7%D8%AA%D8%B1-%D8%B9%D9%84%D9%89-app-store-testflight
مطور Full Stack (Laravel + React) للعمل بنظام المشروع,المهام: تطوير واجهات مستخدم تفاعلية باستخدام React. بناء وتحديث واجهات برمجة التطبيقات (APIs) باستخدام Laravel. تحسين أداء النظام ومعالجة الأخطاء. التعاون مع فريق التصميم والاختبار لضمان جودة عالية المتطلبات: خبرة قوية في Laravel وReact.js. إتقان JavaScript، PHP، وMySQL. خبرة في RESTful APIs وعمليات المصادقة (Authentication). فهم جيد لمبادئ Clean Code وSOLID. الالتزام بالمواعيد النهائية. يفضّل أن يكون لدى المتقدم معرفة بأساسيات DevOps,مفتوح,2025-10-30 10:33:44,$100.00 - $250.00,"30
    يوما","PHP, تصميم موقع إلكتروني, MySQL, تصميم واجهة المستخدم, برمجة",https://mostaql.com/project/1171631-%D9%85%D8%B7%D9%88%D8%B1-full-stack-laravel-react-%D9%84%D9%84%D8%B9%D9%85%D9%84-%D8%A8%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9
استكمال بحث طبي,مطلوب استكمال بحث طبي بحدود 60 صفحة تم كتابة نصف البحث والتحليل الاحصائي ومناقشة التحليل والمطلوب الاستكمال ما تبقى حوالي 60 صفحة مع تقديم تقرير من برنامج turn it in بعد إنهاء العمل نسبة الاقتباس لا تتجاوز 15%,مفتوح,2025-10-30 10:33:36,$50.00 - $100.00,"7
    أيام","كتابة البحوث, البحث العلمي, الإحصاء, النشر العلمي, التحليل الإحصائي, الكتابة الطبية",https://mostaql.com/project/1158552-%D8%A7%D8%B3%D8%AA%D9%83%D9%85%D8%A7%D9%84-%D8%A8%D8%AD%D8%AB-%D8%B7%D8%A8%D9%8A
تصميم ملفات بكانفا,احتاج مصمم مبدع ومحترف يصمم ملفات بكانفا و سريع في التصميم عبارة عن كتب مصغرة عددها 5 ملفات كل ملف تتراوح صفحاته بين 5 الى 15 صفحة عليه اعادة كتابة المحتوى والتصميم و توجد ملفات بالفوتوشوب عددها 3 برسلها له بصيغة مفتوحه و يختصرها ل 10 الى 15صفحة الملفات ستنشر مجانا لوجه الله في السوشيال ميديا لذلك سيتم قبول العمل مع المستقل الافضل سعرا وسيكون هناك اعمال قادمة في حال كان الشغل ابداعي ((ارفق ملف اعمالك مع الرد )),مفتوح,2025-10-30 10:32:03,$25.00 - $50.00,"3
    أيام","فوتوشوب, تصميم جرافيك, كانفا, كتابة المحتوى, التصميم الإبداعي",https://mostaql.com/project/1171630-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%84%D9%81%D8%A7%D8%AA-%D8%A8%D9%83%D8%A7%D9%86%D9%81%D8%A7
تعديل واجهة موقع,السلام عليكم نحتاج احد - يفهم وورد بريس - او فريمر - او فيغما لتعديل واجهة موقع العمل مستعجل,مفتوح,2025-10-30 10:30:50,$100.00 - $250.00,"2
    يومين","ووردبريس, Figma, تصميم موقع إلكتروني, برمجة, تطوير البرمجيات, تصميم واجهة المستخدم",https://mostaql.com/project/1171628-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D9%85%D9%88%D9%82%D8%B9
تصميم لوجو مقتبس من لوجو موجود حاليا لدي,تصميم لوجو في مجال السفر مقتبس من لوجو اخر,مفتوح,2025-10-30 10:29:59,$25.00 - $50.00,"5
    أيام","فوتوشوب, التصميم الإبداعي, تصميم شعار, تصميم صور, تصميم جرافيك",https://mostaql.com/project/1171627-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%84%D9%88%D8%AC%D9%88-%D9%85%D9%82%D8%AA%D8%A8%D8%B3-%D9%85%D9%86-%D9%84%D9%88%D8%AC%D9%88-%D9%85%D9%88%D8%AC%D9%88%D8%AF-%D8%AD%D8%A7%D9%84%D9%8A%D8%A7-%D9%84%D8%AF%D9%8A
تصميم ورسم مخططات معماري وواجهات,تصميم معماري وواجهات مخططات كاملة مشروع فندق شقق فندقية مساحة ارض 30x30 = m900 مسموح 3 أدوار ونصف بهو كوفي شوب استقبال مصلى رجال نساء مغسلة ملابس مطبخ تحضير طعام نادي رياضي صحي ساونا وبخار سبا وصالة رياضية منطقة العاب اطفال ورعايتهم حتى عودة ابويهم قاعة مركز اعمال واجتماعات 40 غرفة متنوعة استوديو @ وضع ٢ استوديوا متلاصقين بينهم باب . جناح يكون سرير مزوج + جلسة TV + زاوية مطبخ صغير + جاكوزي مطل على السرير والجلسة . جناح نفس الجناح السابق ولكن السرير بغرفة مستقلة كود البناء كود البناء السعودي المطلوب استلامه مخططات  معماري ووجهات مساقط وقطاعات pdf + Autocad,مفتوح,2025-10-30 10:24:01,$500.00 - $1000.00,"10
    أيام","تصميم مخططات معمارية, مخطط التمديدات الكهربائية, مخططات تنفيذية, أوتوكاد, تحويل PDF, تصميم ديكور, تصميم داخلي",https://mostaql.com/project/1162074-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%88%D8%B1%D8%B3%D9%85-%D9%85%D8%AE%D8%B7%D8%B7%D8%A7%D8%AA-%D9%85%D8%B9%D9%85%D8%A7%D8%B1%D9%8A-%D9%88%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA
إعادة تنسيق عرض بوربوينت,لدي عرض جاهز وبحاجه الي اعاده تنسيق واخراج بصوره جميله يعكس هويه الشركة والوانها عدد الشرائح تقريباً 9 شرائح,مفتوح,2025-10-30 10:22:48,$50.00 - $100.00,"2
    يومين","تصميم عروض بوربوينت, باوربوينت, تصميم عروض تقديمية, تصميم صور, تصميم جرافيك",https://mostaql.com/project/1171626-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D9%86%D8%B3%D9%8A%D9%82-%D8%B9%D8%B1%D8%B6-%D8%A8%D9%88%D8%B1%D8%A8%D9%88%D9%8A%D9%86%D8%AA
تطوير تطبيق يجمع المتاجر والمشاريع العائلية في المنطقة,لدي فكرة تطبيق يهدف إلى دعم المتاجر والمشاريع العائلية في منطقتي من خلال منصة رقمية تجمعها في مكان واحد. التطبيق يتيح للمستخدمين تصفح المتاجر القريبة، معرفة مواقعها، منتجاتها، العروض، والتواصل أو الطلب مباشرة من خلال التطبيق.,مفتوح,2025-10-30 10:21:54,$1000.00 - $2500.00,"14
    يوما","تصميم واجهة المستخدم, تصميم UI UX, تصميم تجربة المستخدم, التصميم الإبداعي, تصميم تطبيقات, تصميم تطبيقات الهواتف الذكية, adobe xd, تحسين محركات البحث",https://mostaql.com/project/1171534-%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%8A%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AC%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%B4%D8%A7%D8%B1%D9%8A%D8%B9-%D8%A7%D9%84%D8%B9%D8%A7%D8%A6%D9%84%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D9%86%D8%B7%D9%82%D8%A9
برمجة بوت حجز تلقائي على منصة ويب,مطلوب مبرمج لبرمجة بوت يقوم بطلبات الحجز التلقائي على منصة ويب حجوزات تعتمد على الدور المطلوب ان يكون البوت سريع ويقوم بطلبات الحجز دون الحاجة للضغط على زر الحجز لانه يقوم بالتأخير لطلبات الحجز مما يسبب فقدان الحجز لمن لديه خلفية برمجية عالية وأقوم بتزويده بكامل التفاصيل PDF,مفتوح,2025-10-30 10:11:40,$100.00 - $250.00,"3
    أيام","برمجة مواقع, برمجة, برمجة التطبيقات, برمجة تطبيقات سطح المكتب, بايثون, PHP, HTML, الكتابة الإبداعية",https://mostaql.com/project/1171619-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%A8%D9%88%D8%AA-%D8%AD%D8%AC%D8%B2-%D8%AA%D9%84%D9%82%D8%A7%D8%A6%D9%8A-%D8%B9%D9%84%D9%89-%D9%85%D9%86%D8%B5%D8%A9-%D9%88%D9%8A%D8%A8
